problem,tp,tf,jut,nest,mdepth,igd_nsga2_mean,igd_ip2_mean,hv_nsga2_mean,hv_ip2_mean
makeMMF10Function,5,1,0.8,10,10,0.18638064609839805,0.17287878953057634,12342.910870036823,12342.512769141178
makeMMF11Function,50,1,0.8,10,30,0.10551877216313568,0.10068876064810504,12343.124116859935,12343.1258593282
makeMMF12Function,2,1,1.1,50,5,0.0844986903821451,0.08415433345884635,12342.927027391519,12342.931010638053
makeMMF13Function,20,8,1.1,200,30,0.15253269687511065,0.15845579941142499,12343.095006760885,12343.097982039695
makeMMF14Function,50,10,1.1,100,30,0.13220573178390851,0.13606035667341962,1371329.8470363885,1371330.2481754893
makeMMF14aFunction,8,5,0.8,50,5,0.1419463813273599,0.14058993115023144,1371329.9553245434,1371330.3455056993
makeMMF15Function,10,1,1.1,50,5,0.23979574642363113,0.23767116734121976,1371329.8916393614,1371330.3272764
makeMMF15aFunction,2,20,0.8,50,None,0.23057027362244692,0.23345130497797936,1371330.1684884874,1371330.3814023738
makeMMF1Function,10,1,1.1,10,None,0.017390857273121462,0.013405181618900737,12343.155320220016,12343.195500671947
makeMMF1eFunction,5,10,1.5,100,None,0.007210483595076782,0.006960542078434695,12343.20596088749,12343.208784715634
makeMMF1zFunction,10,1,1.5,10,10,0.0070622863545168335,0.009629272381994139,12343.15346334646,12343.191621816717
makeMMF2Function,8,10,0.8,50,10,0.06571132802110967,0.05006776354741371,12342.64195678393,12343.17098403658
makeMMF3Function,20,1,0.8,10,5,0.10010399281573723,0.04386424478628901,12342.392269651054,12343.17682653885
makeMMF4Function,2,1,1.1,50,None,0.006042180008978618,0.005741006295980912,12343.087546263007,12343.123578133791
makeMMF5Function,5,1,0.8,50,30,0.0062882541240246925,0.006271377584035549,12343.111829604664,12343.154018602738
makeMMF6Function,8,5,0.8,50,None,0.025719767650693535,0.02677522871656038,12343.15327059218,12343.18288676713
makeMMF7Function,10,1,1.1,100,10,0.0064381457476038965,0.005905025457443231,12343.150493720701,12343.177177277099
makeMMF8Function,5,1,0.8,100,30,0.005769912321552796,0.005733478763119633,12343.176679265074,12343.19924104813
makeMMF9Function,50,5,1.1,50,10,0.02235038992614456,0.02231717189398576,12343.127308476369,12343.127632422476
makeOmniTestFunction,50,1,1.5,200,30,1.0009442043506132,1.0011445489609418,12343.128934765273,12343.152990950384
makeSYMPARTrotatedFunction,5,1,1.5,None,5,0.026468962921760823,0.025128154649993285,12343.208868217413,12343.209947372468
makeSYMPARTsimpleFunction,50,1,1.1,50,10,0.02588280588882016,0.021590582204957267,12343.209877575604,12343.20990662026
