Problem,Best IGD NSGA2,Best IGD IP2,Best HV NSGA2,Best HV IP2,IGD NSGA2 File,IGD IP2 File,HV NSGA2 File,HV IP2 File
makeMMF10Function,0.1742154769114513,0.17268366148063666,12343.137929120017,12342.512769141178,makeMMF10Function_tp5_tf20_jut0.8_nest50_mdepthNone_agg.json,makeMMF10Function_tp20_tf1_jut1.5_nest100_mdepth5_agg.json,makeMMF10Function_tp8_tf1_jut1.1_nest200_mdepth5_agg.json,makeMMF10Function_tp5_tf1_jut0.8_nest10_mdepth10_agg.json
makeMMF8Function,0.005414443443034428,0.005472535424706737,12343.199241331911,12343.19924104813,makeMMF8Function_tp5_tf1_jut1.5_nest10_mdepth5_agg.json,makeMMF8Function_tp5_tf10_jut0.8_nest50_mdepth5_agg.json,makeMMF8Function_tp5_tf5_jut2_nestNone_mdepth10_agg.json,makeMMF8Function_tp5_tf1_jut0.8_nest100_mdepth30_agg.json
makeMMF1zFunction,0.0058106022339390415,0.008266457877159242,12343.197222149069,12343.191621816717,makeMMF1zFunction_tp2_tf1_jut2_nest200_mdepth10_agg.json,makeMMF1zFunction_tp10_tf1_jut2_nest100_mdepth5_agg.json,makeMMF1zFunction_tp10_tf20_jut2_nest100_mdepthNone_agg.json,makeMMF1zFunction_tp10_tf1_jut1.5_nest10_mdepth10_agg.json
makeMMF11Function,0.09854820023179088,0.09772221379704794,12343.12478220817,12343.1258593282,makeMMF11Function_tp2_tf10_jut1.1_nest200_mdepth10_agg.json,makeMMF11Function_tp8_tf8_jut1.1_nest100_mdepth10_agg.json,makeMMF11Function_tp10_tf1_jut0.8_nest10_mdepth10_agg.json,makeMMF11Function_tp50_tf1_jut0.8_nest10_mdepth30_agg.json
makeMMF14Function,0.1258999255192624,0.12819901293604322,1371330.4437800802,1371330.2481754893,makeMMF14Function_tp5_tf1_jut2_nest200_mdepth10_agg.json,makeMMF14Function_tp10_tf1_jut1.5_nest200_mdepth10_agg.json,makeMMF14Function_tp10_tf5_jut2_nest100_mdepth10_agg.json,makeMMF14Function_tp50_tf10_jut1.1_nest100_mdepth30_agg.json
makeMMF3Function,0.04294069242677936,0.04272773086446115,12343.020847718664,12343.17682653885,makeMMF3Function_tp2_tf10_jut0.8_nest10_mdepth5_agg.json,makeMMF3Function_tp20_tf1_jut1.1_nest10_mdepth10_agg.json,makeMMF3Function_tp5_tf5_jut0.8_nest10_mdepth5_agg.json,makeMMF3Function_tp20_tf1_jut0.8_nest10_mdepth5_agg.json
makeMMF5Function,0.005784684725569622,0.006025442991649212,12343.164045882526,12343.154018602738,makeMMF5Function_tp8_tf1_jut2_nest200_mdepthNone_agg.json,makeMMF5Function_tp8_tf1_jut0.8_nest200_mdepth10_agg.json,makeMMF5Function_tp20_tf1_jut2_nestNone_mdepth10_agg.json,makeMMF5Function_tp5_tf1_jut0.8_nest50_mdepth30_agg.json
makeMMF13Function,0.14523537777198645,0.14021657188181577,12343.097925173526,12343.097982039695,makeMMF13Function_tp50_tf20_jut1.1_nestNone_mdepth10_agg.json,makeMMF13Function_tp50_tf8_jut0.8_nest10_mdepth5_agg.json,makeMMF13Function_tp50_tf8_jut1.1_nest100_mdepthNone_agg.json,makeMMF13Function_tp20_tf8_jut1.1_nest200_mdepth30_agg.json
makeMMF7Function,0.005491157113198733,0.005679381689282205,12343.178373477607,12343.177177277099,makeMMF7Function_tp8_tf1_jut2_nest200_mdepth5_agg.json,makeMMF7Function_tp5_tf1_jut2_nestNone_mdepth5_agg.json,makeMMF7Function_tp2_tf8_jut2_nest50_mdepth5_agg.json,makeMMF7Function_tp10_tf1_jut1.1_nest100_mdepth10_agg.json
makeOmniTestFunction,1.0008240838933895,1.0009716408462392,12343.151796756183,12343.152990950384,makeOmniTestFunction_tp20_tf1_jut1.5_nest10_mdepthNone_agg.json,makeOmniTestFunction_tp20_tf1_jut1.5_nest100_mdepth10_agg.json,makeOmniTestFunction_tp2_tf8_jut1.1_nest50_mdepthNone_agg.json,makeOmniTestFunction_tp50_tf1_jut1.5_nest200_mdepth30_agg.json
makeMMF14aFunction,0.13640011883922862,0.13721051045473953,1371330.4382856842,1371330.3455056993,makeMMF14aFunction_tp5_tf20_jut2_nest10_mdepth10_agg.json,makeMMF14aFunction_tp2_tf10_jut0.8_nest10_mdepth30_agg.json,makeMMF14aFunction_tp5_tf5_jut2_nest200_mdepth10_agg.json,makeMMF14aFunction_tp8_tf5_jut0.8_nest50_mdepth5_agg.json
makeMMF9Function,0.02023579953726622,0.020929670067228713,12343.127308476369,12343.127632422476,makeMMF9Function_tp2_tf1_jut2_nest200_mdepth30_agg.json,makeMMF9Function_tp20_tf1_jut2_nest200_mdepth10_agg.json,makeMMF9Function_tp50_tf5_jut1.1_nest50_mdepth10_agg.json,makeMMF9Function_tp50_tf5_jut1.1_nest50_mdepth10_agg.json
makeSYMPARTrotatedFunction,0.02257782306764198,0.023699533721999563,12343.20991048679,12343.209947372468,makeSYMPARTrotatedFunction_tp5_tf1_jut2_nestNone_mdepth30_agg.json,makeSYMPARTrotatedFunction_tp10_tf10_jut0.8_nest50_mdepth30_agg.json,makeSYMPARTrotatedFunction_tp5_tf5_jut2_nest100_mdepthNone_agg.json,makeSYMPARTrotatedFunction_tp5_tf1_jut1.5_nestNone_mdepth5_agg.json
makeMMF15aFunction,0.22732363268041636,0.22851496215965764,1371330.4317869504,1371330.3814023738,makeMMF15aFunction_tp8_tf1_jut0.8_nestNone_mdepth10_agg.json,makeMMF15aFunction_tp50_tf20_jut2_nest10_mdepth5_agg.json,makeMMF15aFunction_tp5_tf5_jut2_nestNone_mdepth10_agg.json,makeMMF15aFunction_tp2_tf20_jut0.8_nest50_mdepthNone_agg.json
makeMMF6Function,0.008705612858635232,0.02405899183942826,12343.186176197367,12343.18288676713,makeMMF6Function_tp5_tf1_jut2_nest10_mdepthNone_agg.json,makeMMF6Function_tp10_tf1_jut1.5_nest10_mdepth10_agg.json,makeMMF6Function_tp10_tf1_jut2_nest100_mdepth30_agg.json,makeMMF6Function_tp8_tf5_jut0.8_nest50_mdepthNone_agg.json
makeMMF1Function,0.006391394131041837,0.010349347874826439,12343.196602215457,12343.195500671947,makeMMF1Function_tp10_tf1_jut2_nest10_mdepth5_agg.json,makeMMF1Function_tp10_tf1_jut0.8_nest100_mdepthNone_agg.json,makeMMF1Function_tp20_tf1_jut2_nest10_mdepth5_agg.json,makeMMF1Function_tp10_tf1_jut1.1_nest10_mdepthNone_agg.json
