problem,type,tp,tf,jut,nest,mdepth,igd_nsga2_mean,igd_ip2_mean,hv_nsga2_mean,hv_ip2_mean
makeMMF1zFunction,best_hv_ip2,10,1,1.5,10,10,0.0070622863545168335,0.009629272381994139,12343.15346334646,12343.191621816717
makeMMF1zFunction,best_igd_ip2,10,1,2,100,5,0.0061784454511015175,0.008266457877159242,12343.19550623307,12343.15046562218
makeMMF1Function,best_igd_ip2,10,1,0.8,100,None,0.024558925628665136,0.010349347874826439,12343.188960808615,12343.18140872124
makeMMF1Function,best_hv_ip2,10,1,1.1,10,None,0.017390857273121462,0.013405181618900737,12343.155320220016,12343.195500671947
makeMMF1eFunction,best_hv_ip2,5,10,1.5,100,None,0.007210483595076782,0.006960542078434695,12343.20596088749,12343.208784715634
makeMMF1eFunction,best_igd_ip2,20,1,1.5,200,10,0.012401940722068515,0.006761064208815086,12343.20465491463,12343.206945022266
makeMMF2Function,best_hv_ip2,8,10,0.8,50,10,0.06571132802110967,0.05006776354741371,12342.64195678393,12343.17098403658
makeMMF2Function,best_igd_ip2,50,1,1.1,10,5,0.0921780570111992,0.037171601512521184,12342.472216541628,12343.11470976097
makeMMF3Function,best_igd_ip2,20,1,1.1,10,10,0.09184219967138389,0.04272773086446115,12342.480600148281,12343.107756786136
makeMMF3Function,best_hv_ip2,20,1,0.8,10,5,0.10010399281573723,0.04386424478628901,12342.392269651054,12343.17682653885
makeMMF4Function,best_igd_ip2,50,1,2,200,10,0.005697376420558772,0.005578000465810033,12343.119448204807,12343.107143464871
makeMMF4Function,best_hv_ip2,2,1,1.1,50,None,0.006042180008978618,0.005741006295980912,12343.087546263007,12343.123578133791
makeMMF5Function,best_igd_ip2,8,1,0.8,200,10,0.00624789755900873,0.006025442991649212,12343.143538198608,12343.132951831618
makeMMF5Function,best_hv_ip2,5,1,0.8,50,30,0.0062882541240246925,0.006271377584035549,12343.111829604664,12343.154018602738
makeMMF6Function,best_igd_ip2,10,1,1.5,10,10,0.02677089917452231,0.02405899183942826,12343.169461138352,12343.180176080281
makeMMF6Function,best_hv_ip2,8,5,0.8,50,None,0.025719767650693535,0.02677522871656038,12343.15327059218,12343.18288676713
makeMMF7Function,best_hv_ip2,10,1,1.1,100,10,0.0064381457476038965,0.005905025457443231,12343.150493720701,12343.177177277099
makeMMF7Function,best_igd_ip2,5,1,2,None,5,0.00566377215421118,0.005679381689282205,12343.172684932213,12343.161115705501
makeMMF8Function,best_hv_ip2,5,1,0.8,100,30,0.005769912321552796,0.005733478763119633,12343.176679265074,12343.19924104813
makeMMF8Function,best_igd_ip2,5,10,0.8,50,5,0.005726127476590832,0.005472535424706737,12343.19190978567,12343.193055724145
